date,kidid,gender,race,birthday,age (months),age (years),bilingual,2ndlang,trial,forcedchoice,standardlabel,order,condition,dimension,response,notes
12/4/2024,31,male,asian,4/19/2021,43.00,3.58,,,7,,the zimbo,123,function,3,distractor,"notices the heart at first and says ""this has a heart on it"", picks up distractor puts it next to standard, then does the same to function match and says found it but then picks distractor when told instructions again "
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,1,,the fep,123,function,1,shape,
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,2,,the blicket,231,function,2,function,"points blicket standing up and says ""it can stand"""
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,3,,the gorp,312,function,1,shape,says it's a two 
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,4,,the wap,123,material,3,distractor,asks if she can touch it 
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,5,,the blint ,231,material,1,shape,asks to touch it again 
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,6,,the zimbo,312,material,2,material,
12/6/2024,32,female,asian,10/20/2021,37.00,3.08,,,7,,the dax,123,material,1,shape,
,33,,,,0.00,0.00,,,,,,,,,,
,33,,,,0.00,0.00,,,,,,,,,,
,33,,,,0.00,0.00,,,,,,,,,,
,33,,,,0.00,0.00,,,,,,,,,,
,33,,,,0.00,0.00,,,,,,,,,,
,33,,,,0.00,0.00,,,,,,,,,,
,33,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,34,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,0.00,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,
